Index,date,close
1916,4/10/2017,41.24
1917,4/7/2017,41.23
1918,4/6/2017,41.39
1919,4/5/2017,41.57
1920,4/4/2017,41.73
1921,4/3/2017,41.93
1922,3/31/2017,41.48
1923,3/30/2017,41.58
1924,3/29/2017,41.57
1925,3/28/2017,41.05
1926,3/27/2017,40.98
1927,3/24/2017,40.72
1928,3/23/2017,40.88
1929,3/22/2017,41.48
1930,3/21/2017,41.52
1931,3/20/2017,42.42
1932,3/17/2017,42.61
1933,3/16/2017,42.44
1934,3/15/2017,42.36
1935,3/14/2017,42.28
1936,3/13/2017,42.28
1937,3/10/2017,42.16
1938,3/9/2017,41.93
1939,3/8/2017,41.77
1940,3/7/2017,41.6
1941,3/6/2017,41.39
1942,3/3/2017,41.45
1943,3/2/2017,41.53
1944,3/1/2017,41.76
1945,2/28/2017,41.16
1946,2/27/2017,41.46
1947,2/24/2017,41.43
1948,2/23/2017,41.57
1949,2/22/2017,41.54
1950,2/21/2017,41.58
1951,2/17/2017,41.4
1952,2/16/2017,41.21
1953,2/15/2017,40.95
1954,2/14/2017,41.02
1955,2/13/2017,40.96
1956,2/10/2017,40.68
1957,2/9/2017,40.48
1958,2/8/2017,40.42
1959,2/7/2017,40.35
1960,2/6/2017,40.07
1961,2/3/2017,40.07
1962,2/2/2017,39.93
1963,2/1/2017,39.78
1964,1/31/2017,39.84
1965,1/30/2017,40.12
1966,1/27/2017,41.17
1967,1/26/2017,41.61
1968,1/25/2017,41.78
1969,1/24/2017,41.19
1970,1/23/2017,40.97
1971,1/20/2017,40.25
1972,1/19/2017,40.11
1973,1/18/2017,40.3
1974,1/17/2017,40.23
1975,1/13/2017,40.39
1976,1/12/2017,40.32
1977,1/11/2017,40.4
1978,1/10/2017,40.24
1979,1/9/2017,40.33
1980,1/6/2017,40.31
1981,1/5/2017,39.7
1982,1/4/2017,39.35
1983,1/3/2017,39.31
1984,12/30/2016,38.59
1985,12/29/2016,39.14
1986,12/28/2016,39.25
1987,12/27/2016,39.58
1988,12/23/2016,39.5
1989,12/22/2016,39.56
1990,12/21/2016,39.73
1991,12/20/2016,39.82
1992,12/19/2016,39.71
1993,12/16/2016,39.54
1994,12/15/2016,39.89
1995,12/14/2016,39.85
1996,12/13/2016,39.81
1997,12/12/2016,39.46
1998,12/9/2016,39.46
1999,12/8/2016,38.82
2000,12/7/2016,38.56
2001,12/6/2016,37.96
2002,12/5/2016,38.13
2003,12/2/2016,37.53
2004,12/1/2016,37.4
2005,11/30/2016,37.9
2006,11/29/2016,38.54
2007,11/28/2016,38.41
2008,11/25/2016,38.08
2009,11/23/2016,38.05
2010,11/22/2016,38.41
2011,11/21/2016,38.46
2012,11/18/2016,38.03
2013,11/17/2016,38.56
2014,11/16/2016,38.22
2015,11/15/2016,37.92
2016,11/14/2016,36.8
2017,11/11/2016,37.7
2018,11/10/2016,38.13
2019,11/9/2016,39.27
2020,11/8/2016,39.53
2021,11/7/2016,39.13
2022,11/4/2016,38.1
2023,11/3/2016,38.11
2024,11/2/2016,38.44
2025,11/1/2016,39.18
2026,10/31/2016,39.23
2027,10/28/2016,39.77
2028,10/27/2016,39.77
2029,10/26/2016,39.95
2030,10/25/2016,40.38
2031,10/24/2016,40.66
2032,10/21/2016,39.97
2033,10/20/2016,39.85
2034,10/19/2016,40.08
2035,10/18/2016,39.76
2036,10/17/2016,39
2037,10/14/2016,38.93
2038,10/13/2016,38.91
2039,10/12/2016,39.31
2040,10/11/2016,39.15
2041,10/10/2016,39.3
2042,10/7/2016,38.75
2043,10/6/2016,38.84
2044,10/5/2016,38.82
2045,10/4/2016,38.82
2046,10/3/2016,38.63
2047,9/30/2016,38.86
2048,9/29/2016,38.75
2049,9/28/2016,39.08
2050,9/27/2016,39.15
2051,9/26/2016,38.71
2052,9/23/2016,39.35
2053,9/22/2016,39.36
2054,9/21/2016,38.81
2055,9/20/2016,38.57
2056,9/19/2016,38.28
2057,9/16/2016,38.44
2058,9/15/2016,38.59
2059,9/14/2016,38.12
2060,9/13/2016,37.98
2061,9/12/2016,38.45
2062,9/9/2016,37.98
2063,9/8/2016,38.77
2064,9/7/2016,39.02
2065,9/6/2016,39
2066,9/2/2016,38.57
2067,9/1/2016,38.44
2068,8/31/2016,38.35
2069,8/30/2016,38.45
2070,8/29/2016,38.61
2071,8/26/2016,38.48
2072,8/25/2016,38.47
2073,8/24/2016,38.48
2074,8/23/2016,38.6
2075,8/22/2016,38.61
2076,8/19/2016,38.77
2077,8/18/2016,38.88
2078,8/17/2016,39
2079,8/16/2016,38.86
2080,8/15/2016,39.12
2081,8/12/2016,39.16
2082,8/11/2016,39.24
2083,8/10/2016,39.23
2084,8/9/2016,39.21
2085,8/8/2016,39.09
